2020-01-09 18:08:08.182  INFO 29050 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1578572588182 with initial instances count: 0
2020-01-09 18:08:08.215  INFO 29050 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initializing ...
2020-01-09 18:08:08.218  INFO 29050 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : Adding new peer nodes [http://localhost:8761/eureka/]
2020-01-09 18:08:08.349  INFO 29050 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-01-09 18:08:08.349  INFO 29050 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-01-09 18:08:08.349  INFO 29050 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-01-09 18:08:08.349  INFO 29050 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-01-09 18:08:08.427  INFO 29050 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : Replica node URL:  http://localhost:8761/eureka/
2020-01-09 18:08:08.433  INFO 29050 --- [main] c.n.e.registry.AbstractInstanceRegistry  : Finished initializing remote region registries. All known remote regions: []
2020-01-09 18:08:08.434  INFO 29050 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initialized
2020-01-09 18:08:08.445  INFO 29050 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-01-09 18:08:08.469  INFO 29050 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application REGISTRY with eureka with status UP
2020-01-09 18:08:08.471  INFO 29050 --- [Thread-18] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2020-01-09 18:08:08.471  INFO 29050 --- [Thread-18] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2020-01-09 18:08:08.472  INFO 29050 --- [Thread-18] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2020-01-09 18:08:08.478  INFO 29050 --- [Thread-18] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2020-01-09 18:08:08.479  INFO 29050 --- [Thread-18] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2020-01-09 18:08:08.479  INFO 29050 --- [Thread-18] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2020-01-09 18:08:08.479  INFO 29050 --- [Thread-18] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2020-01-09 18:08:08.479  INFO 29050 --- [Thread-18] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2020-01-09 18:08:08.489  INFO 29050 --- [Thread-18] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2020-01-09 18:08:08.502  INFO 29050 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8761 (http) with context path ''
2020-01-09 18:08:08.502  INFO 29050 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8761
2020-01-09 18:08:08.505  INFO 29050 --- [main] s.p.f.r.FleetRegistryServerApplication   : Started FleetRegistryServerApplication in 4.142 seconds (JVM running for 4.616)
2020-01-09 18:08:16.828  INFO 29050 --- [http-nio-8761-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
